proposition,dominant_topic,topic_name,clean
Il faut manger des produits des producteurs locaux,7,Circuit court,manger producteur local
Il faut avoir plus d'informations sur les additifs dans les aliments,2,Produits transformés,information additif aliment
Il faut transformer / créer les espaces verts des villes en potagers collectifs,3,Cultiver soi-même,transformer créer espace verts ville potager collectif
Il faut apprendre le jardinage à l'école primaire,8,Alimentation des enfants,apprendre jardinage école primaire
"Il faut limiter la distance, encourager l'achat alimentaire de proximité. L'achat qui vient de chine, d'Inde de Corée etc. doit être surtaxé",6,Emballage alimentaire,limiter distance encourager achat alimentaire proximité achat venir chine ind corée devoir surtaxer
"Il faut de bons produits, locaux, à la portée de notre budget, et bio ce serait la cerise sur le gâteau",4,Habitude de consommation alimentaire,local portée budget bio cerise gâteau
Il faut réduire les marges pour vendre plus. Des prix attractifs vous font consommer davantage.  Résultat : beaucoup moins de perte !,7,Circuit court,réduire marge vendre prix attractif consommer davantage résultat perte
Il faut organiser des petits marchés de particuliers à particuliers qui ont du surplus de leur jardin,3,Cultiver soi-même,organiser petit marché surplus jardin
Il faut privilégier la viande de ruminant élevé à l'herbe et de mono-gastriques en polyculture-élevage (pois local plutôt que soja importé),0,Consommation Viande,privilégier viande ruminer élevé herbe monogastrique polycultureélevage pois local soja importer
Il faut rembourser les consultations des diététiciens nutritionnistes,8,Alimentation des enfants,rembourser consultation diététicien nutritionniste
Il faut apprendre aux enfants et parents à cuisiner,8,Alimentation des enfants,apprendre enfant parent cuisiner
Il faut imposer l'étiquetage des viandes issues d'élevages utilisant des OGM dans leur l'alimentation.,0,Consommation Viande,imposer étiquetage viande issu élevage utiliser ogm alimentation
Il faut manger moins et des produits bio,7,Circuit court,manger bio
Il faut diminuer la quantité de sel dans les plats prépares et la charcuterie,4,Habitude de consommation alimentaire,diminuer quantité sel plat prépare charcuterie
Il faut proposer des produits bio et locaux,7,Circuit court,proposer bio local
"Il faut des produits bruts, sains, non transformés, sans emballages. Simplifier pour savoir ce qu’on mange ",4,Habitude de consommation alimentaire,brut sain transformer emballage simplifier savoir quon manger
Il faut interdire à 90% minimum tous les emballages non recyclables dans les grandes surfaces,6,Emballage alimentaire,interdire minimum emballage recyclable grand surface
Il faut revenir aux produits de saison et arrêter de manger des fraises en décembre,7,Circuit court,revenir saison arrêter manger fraise décembre
"Il faut indiquer la composition exacte et la provenance de tous les produits alimentaires y compris dans les rayons ""à la coupe""",2,Produits transformés,indiquer composition exact provenance alimentaire rayon coupe
Il faut bannir les bouteilles en plastique et rétablir la consigne ,6,Emballage alimentaire,bannir bouteille plastique rétablir consigne
Il faut plus de simplicité dans la liste des ingrédients composant un produit,2,Produits transformés,simplicité liste ingrédient composer
Il faut favoriser une alimentation saine en restauration collective publique et privée ,8,Alimentation des enfants,favoriser alimentation sain restauration public priver
"Il faut réduire sa consommation de viande
",0,Consommation Viande,réduire consommation viande
Il faut encourager les protéines alternatives et écologiques. ,0,Consommation Viande,encourager protéine alternatif écologique
Il faut diminuer les marges des distributeurs,7,Circuit court,diminuer marge distributeur
"Il faut proposer des produits frais, sans conservateurs ni additifs ou autres produits nocifs, afin de manger sainement",4,Habitude de consommation alimentaire,proposer frais conservateur additif nocif manger sainement
Il faut limiter les intermédiaires entre l'agriculteur et le consommateur,7,Circuit court,limiter intermédiaire agriculteur consommateur
Il faut permettre la vente de graines anciennes et bio qui ne sont pas commercialisées par les grosses firmes qui détiennent le monopole,0,Consommation Viande,permettre vente graine ancien bio commercialiser gros firme détenir monopole
Il faut imposer une limite dans le nombre d'additifs utilisés dans les produits industriels,2,Produits transformés,imposer limite nombre additif utiliser industriel
"Il faut arrêter d'acheter les produits alimentaires chez nos voisins et acheter français, quitte à payer plus cher.",7,Circuit court,arrêter acheter alimentaire voisin acheter français quitte payer
"Il faut en finir avec l'idée que l'élevage en plein air est meilleur qu'en bâtiment. Si les animaux sont shootés aux antibio, pas mieux",0,Consommation Viande,finir idée élevage air meilleur bâtiment animal shooter antibio mieux
Il faut un étiquetage de la composition plus grand et plus précis avec le prix affiché sur l'achat,2,Produits transformés,étiquetage composition grand précis prix afficher achat
"Il faut subventionner les commerces de bouche de proximité (en centre ville et dans les quartiers) : légumes, viande, poisson, et marchés",7,Circuit court,subventionner commerce bouche proximité centre vill quartier légume viand poisson marché
Il faut appliquer une TVA  réduite en fonction des produits chimiques utilisés ,9,Rémunération des agriculteurs,appliquer tva réduire fonction chimique utiliser
Il faut exiger la traçabilité totale de ce que contiennent les produits ,2,Produits transformés,exiger traçabilité total contenir
"Il faut savoir prendre du temps pour manger : ne pas grignoter sous prétexte ""j'ai pas le temps"" ",4,Habitude de consommation alimentaire,savoir prendre temps manger grignoter prétexte temps
Il faut diminuer la consommation de protéines animales,0,Consommation Viande,diminuer consommation protéine animal
Il faut acheter directement les produits aux petits agriculteurs et privilégier le bio ,7,Circuit court,acheter directement petit agriculteur privilégier bio
Il faut : oui à la consommation des matières animales. Chacun fait selon ses goûts et convictions.,0,Consommation Viande,oui consommation matière animal goût conviction
"Il faut systématiquement fermer, avec interdiction, les élevages et abattoirs commettant des infractions",0,Consommation Viande,systématiquement fermer interdiction élevage abattoir commettre infraction
Il faut arrêter d’importer des aliments qu’ont sait bourrés de pesticides ,2,Produits transformés,arrêter dimporter aliment quont savoir bourré pesticide
"Il faut produits macrobiotiques, UMEBOSHI (prunes fementées en saumure), TAHIN (purée de sésame), NORI (ISIKI, COMBU, WAKAMÉ...), TOFU... ",9,Rémunération des agriculteurs,produire macrobiotique umeboshi prunes fementées saumure tahin purer sésame combu wakamé tofu
Il faut stopper toutes subventions à l'agriculture conventionnelle et reporter l'argent ainsi économisé sur l'aide à la conversion en bio ,1,Agriculture biologique,stopper subvention agriculture conventionnel reporter argent économiser aide conversion bio
"Il faut proposer une éducation nutritionnelle à l'école, pour permettre aux enfants de comprendre les bienfaits d'une alimentation saine.",8,Alimentation des enfants,proposer éducation nutritionnel école permettre enfant comprendre bienfait alimentation sain
Il faut 3 repas végétariens par semaine dans les cantines scolaires,8,Alimentation des enfants,repas végétarien semaine cantine scolaire
Il faut tout simplement ne pas forcer ses enfants,8,Alimentation des enfants,simplement forcer enfant
Il faut que cette démarche respecte les producteurs et valorise leur production,3,Cultiver soi-même,démarche respecte producteur valorise production
"Il faut permettre une plus grande compréhension pour tous, des dates limites de consommation, pour éviter le gâchis alimentaire.",5,Gaspillage alimentaire,permettre grand compréhension date limite consommation éviter gâchis alimentaire
"Il faut unifier les lois européennes sur l'agriculture, l'usage de produits phytosanitaires, le label bio",1,Agriculture biologique,unifier loi européen agriculture usage phytosanitaire label bio
Il faut forcer la France à verser ses subventions aux producteurs bio,1,Agriculture biologique,forcer france verser subvention producteur bio
"Il faut faire appliquer l'obligation d'étourdissement des animaux avant l'abattage, y compris pour la viande halal",0,Consommation Viande,appliquer obligation étourdissemer animal abattage viande halal
Il faut obliger les distributeurs à appliquer la législation Nutriscore,2,Produits transformés,obliger distributeur appliquer législation nutriscor
Il faut arrêter les élevages intensifs pour privilégier le bien-être animal et la santé humaine,0,Consommation Viande,arrêter élevage intensif privilégier bienêtre animal santé humain
"Il faut clairement indiquer les ingrédients, les modes de production et la provenance afin que les consommateurs puissent choisir",2,Produits transformés,clairement indiquer ingrédient mode production provenance consommateur choisir
Il faut moins de sucre,2,Produits transformés,sucre
"Il faut avoir une politique de prix universel sur des produits de première nécessité bons, simples, naturels et bons pour la santé ",9,Rémunération des agriculteurs,politique prix universel nécessité simple naturel santé
Il faut éviter de manger des plats préparés et essayer de les cuisiner soi-même,4,Habitude de consommation alimentaire,éviter manger plat préparer essayer cuisiner soimême
"Il faut supprimer la viande, le poisson, les laitages et favoriser au maximum les protéines végétales bien meilleures pour la santé ",0,Consommation Viande,supprimer viande poisson laitage favoriser maximum protéine végétal meilleur santé
Il faut privilégier les producteurs locaux,7,Circuit court,privilégier producteur local
Il faut expliquer l'aspect psychologique dans cet acte incontournable. Anorexie et Boulémie sont causes de beaucoup de troubles.,5,Gaspillage alimentaire,expliquer aspect psychologique acte incontournable anorexi boulémie causer trouble
Il faut donner des cours de cuisine à l'école,8,Alimentation des enfants,donner cours cuisine école
Il faut proposer des repas sans viande dans les cantines,8,Alimentation des enfants,proposer repas viande cantine
"Il faut manger 100% végétal pour les animaux,la planète et notre santé",0,Consommation Viande,manger végétal animauxla planèt santé
Il faut absolument que les industriels revoient leurs packagings. Exemple des yaourts encore emballés dans du carton...,6,Emballage alimentaire,absolument industriel revoir packaging exemple yaourt emballer carton
"Il faut organiser un planning hebdomadaire afin d’acheter uniquement ce dont on a besoin, afin d’éviter le gaspillage ",4,Habitude de consommation alimentaire,organiser planning hebdomadaire dacheter uniquement besoin déviter gaspillage
"Il faut vendre les produits comme les pâtes, le riz (etc) uniquement en gros et utiliser des sacs en tissu pour le contenant.",6,Emballage alimentaire,vendre pâte riz uniquement gros utiliser sac tissu contenant
"Il faut cesser d'acheter des produits à base d'huile de palme ou ""huile végétale"" non précisée. Chaque achat est une part de déforestation.",2,Produits transformés,cesser acheter base huile palme huile végétal préciser achat part déforestation
Il faut arrêter de BERNER et MENTIR aux consommateurs français avec les origines des produits ( EX: les escargots de Bourgogne ),2,Produits transformés,arrêter berner mentir consommateur français origine escargot bourgogne
"Il faut payer un produit en fonction de ses externalités positives (biodiversité, bien-être animal...) et négatives (pollution des sols...)",1,Agriculture biologique,payer fonction externalité positif biodiversité bienêtre animal négatif pollution sol
Il faut arrêter de verser des subventions (nationales ou européennes) aux agriculteurs et en faire de vrais entrepreneurs,1,Agriculture biologique,arrêter verser subvention national européen agriculteur vrai entrepreneur
Il faut s’intéresser à ce qu'on mange : qui l'a produit ? comment ? d'où cela vient ? quel impact ?,0,Consommation Viande,sintéresser manger produire venir impact
Il faut fermer tous les abattoirs de France ,0,Consommation Viande,fermer abattoir france
Il faut arrêter de produire des produits de mauvaise qualité,1,Agriculture biologique,arrêter produire mauvais qualité
Il faut sensibiliser les enfants et familles à la bonne gestion de leur alimentation pour éviter un gaspillage massif,8,Alimentation des enfants,sensibiliser enfant famille gestion alimentation éviter gaspillage massif
Il faut arrêter de favoriser la malbouffe. Rendre accessible les produits sains. Un repas sain coûte souvent plus cher qu'un mauvais plat ,9,Rémunération des agriculteurs,arrêter favoriser malbouffe rendre accessible sain repas sain coûte souvent mauvais plat
Il faut apprendre aux enfants ce qui les entoure et les nourrira tout le long de leur vie. Les enfants seront les adultes et parents demain,8,Alimentation des enfants,apprendre enfant entoure nourrir long vie enfant adulte parent demain
"Il faut que les agriculteurs français aient les mêmes normes qu'ailleurs, pour éviter les distorsions de concurrence",1,Agriculture biologique,agriculteur français norme ailleurs éviter distorsion concurrence
Il faut arrêter de vendre uniquement des fruits et légumes sans le moindre défaut ,5,Gaspillage alimentaire,arrêter vendre uniquement fruit légume moindre défaut
Il faut apprendre aux enfants (et aux grands) les formes et goûts des légumes de saison ,8,Alimentation des enfants,apprendre enfant al grand forme goût légume saison
Il faut proposer à la vente les produits locaux ou limitrophes et non ceux provenant des pays hyperproductifs,7,Circuit court,proposer vente local limitrophe provenir pays hyperproductifs
"Il faut davantage respecter les saisons, en consommant ce que la nature nous offre sur place et dans l'instant",4,Habitude de consommation alimentaire,davantage respecter saison consommer nature offrir place instant
Il faut favoriser les aliments de base français non transformés. Ex : riz bio sans transformation style cuisson rapide ou incollable,9,Rémunération des agriculteurs,favoriser aliment base français transformer riz bio transformation style cuisson rapide incollable
Il faut développer les cours de cuisine dès la maternelle,8,Alimentation des enfants,développer cours cuisine maternelle
Il faut privilégier le bio local en circuit court avec des normes que l'on peu contrôler,7,Circuit court,privilégier bio local circuit court norme contrôler
Il faut arrêter de faire des emballages qui trompent le consommateur,6,Emballage alimentaire,arrêter emballage tromper consommateur
Il faut en finir avec le diktat européen qui ne mène qu'à l'industrialisation excessive du secteur agroalimentaire.,1,Agriculture biologique,finir diktat européen mener industrialisation excessif secteur agroalimentaire
Il faut baisser un peu la TVA des produits français non transformés et taxer ou augmenter la TVA pour les produits industriels ou importés,9,Rémunération des agriculteurs,baisser tva français transformer taxer augmenter tva industriel importer
Il faut moins d'intermédiaires entre les grands groupes et surtout que le systéme des salaires soient plus équitable ,7,Circuit court,intermédiaire grand groupe systéme salaire équitable
"Il faut banaliser le repas par semaine sans viande, pour son effet bénéfique sur les émissions de GES, la déforestation, etc",0,Consommation Viande,banaliser repas semaine viande bénéfique émission ge déforestation
Il faut consommer moins de produits transformés,4,Habitude de consommation alimentaire,consommer transformer
Il faut que soit mis en vente des fruits mûrs prêts à être mangé et non durs pas mûrs et donc immangeables afin d'inciter leur consommation ,4,Habitude de consommation alimentaire,mettre vente fruit mûr prêt manger dur mûr immangeable inciter consommation
"Il faut arrêter totalement la consommation animale (viande, poisson)",0,Consommation Viande,arrêter totalement consommation animal viande poisson
"Il faut pouvoir acheter à moindre coût les invendus des supermarchés, primeurs, bouchers, etc pour lutter contre le gaspillage.",5,Gaspillage alimentaire,acheter moindre coût invendu supermarché primeur boucher lutter gaspillage
Il faut permettre de comparer ce qui est comparable ,1,Agriculture biologique,permettre comparer comparable
Il faut de la vente en vrac avec des sachets en coton réutilisables,6,Emballage alimentaire,vente vrac sachet coton réutilisable
"Il faut créer des petits potagers dans les écoles, lorsque c’est possible, pour montrer aux enfants comment poussent les fruits et légumes ",3,Cultiver soi-même,créer petit potager école cest possible montrer enfant pousser fruit légume
"Il faut éviter les additifs, les colorants, interdire le sucre blanc et utiliser le sucre de canne quand c'est nécessaire uniquement ",2,Produits transformés,éviter additif colorant interdire sucre blanc utiliser sucre canne nécessaire uniquement
Il faut reconnecter les villes et le monde rural en créant un espace (physique et digital) d'apprentissage au goût et aux bonnes pratiques.,3,Cultiver soi-même,reconnecter ville monde rural créer espace physique apprentissage goût al pratique
Il faut réduire les publicités sur les gourmandises (sucreries),2,Produits transformés,réduire publicité gourmandise sucrerie
Il faut repenser l'économie d'urgence pour répondre à la nécessité environnementale de réduire les produits animaux de 90%.,0,Consommation Viande,repenser économie urgence répondre nécessité environnemental réduire animal
Il faut indiquer la provenance des aliments dans les produits transformés et/ou surgelés,2,Produits transformés,indiquer provenance aliment transformer etou surgeler
Il faut que les agriculteurs vivent comme tous les français par leur propre travail sans aides de personne et en produisant de la qualité ,1,Agriculture biologique,agriculteur vivre français propre travail aide produisant qualité
Il faut produire de manière durable,1,Agriculture biologique,produire manière durable
Il faut développer les cantines scolaires bio et locales ,8,Alimentation des enfants,développer cantine scolaire bio local
"Il faut proposer les produits régionaux et auprès des éleveurs français, pareillement pour les fruits et légumes",7,Circuit court,proposer régional éleveur français pareillement fruit légume
Il faut permettre à chacun de nous de manger des légumes simples,4,Habitude de consommation alimentaire,permettre manger légume simple
"Il faut indiquer clairement les notions de ""sans gluten"", ""sans protéine de lait de vache"", etc",2,Produits transformés,indiquer clairement notion gluten protéine lait vache
Il faut faire une grande campagne pour apprendre aux gens à prendre plaisir à manger en se passant de la viande,4,Habitude de consommation alimentaire,grand campagne apprendre prendre plaisir manger passer viande
"Il faut manger local, arrêter de vendre produits importés si l'on peut les faire venir en France",7,Circuit court,manger local arrêter vendre importer venir france
"Il faut faire une confiance aveugle aux supermarchés et hypermarchés, ils savent ce qui est bon pour nous",7,Circuit court,confiance aveugle al supermarché hypermarché savoir
Il faut  arreter les subventions à l'agriculture conventionnelle et reporter ces subventions sur la transition en agriculture bio ,1,Agriculture biologique,arreter subvention agriculture conventionnel reporter subvention transition agriculture bio
Il faut interdire le broyage des poussins,0,Consommation Viande,interdire broyage poussin
"Il faut végétaliser notre alimentation : 70% des terres agricoles de la planète sont destinés à l'élevage, aux cultures pour animaux",1,Agriculture biologique,végétaliser alimentation terre agricole planète destiner élevage culture animal
"Il faut enseigner à cultiver un potager et les différentes solutions existentes (hydroponique, sur le balcon) aux élèves, dès la primaire",8,Alimentation des enfants,enseigner cultiver potager solution existente hydroponique balcon élève primaire
Il faut arrêter d’imposer des menus sans porc aux enfants à la cantine sous prétexte de respecter une minorité,0,Consommation Viande,arrêter dimposer menu porc enfant cantine prétexte respecter minorité
"Il faut expliquer que les légumes, cela peut-être très bon : il suffit qu'ils soient de qualité et de quelques épices ou d'un peu de beurre",4,Habitude de consommation alimentaire,expliquer légume peutêtre suffire qualité épice beurre
Il faut éliminer les agents de conservation nocifs pour la santé,2,Produits transformés,éliminer agent conservation nocif santé
"Il faut encourager les petits producteurs à faire des légumes régionaux, afin que l'on puisse manger naturel et frais le plus souvent ! ",7,Circuit court,encourager petit producteur légume régional manger naturel frais souvent
Il faut déjà arrêter tous les emballages inutiles ,6,Emballage alimentaire,déjà arrêter emballage inutile
Il faut trouver facilement de la viande locale de bonne qualité,7,Circuit court,trouver facilement viande local qualité
Il faut manger local et respecter les saisons des produits,7,Circuit court,manger local respecter saison
Il faut créer un rayon de produits dont la date d'expiration est très proche avec des prix promotionnels (ex :  -50% sur tous ces produits),5,Gaspillage alimentaire,créer rayon date expiration prix promotionnel
Il faut encourager l'aménagement de mini potagers urbains partagés,3,Cultiver soi-même,encourager aménagement mini potager urbain partager
Il faut que les agriculteurs vendent en direct sans pour autant vendre plus cher que les distributeurs locaux : pas d'intermédiaires ,7,Circuit court,agriculteur vendre direct autant vendre distributeur local intermédiaire
"Il faut manger végétal (15% max calories animales), vrai (15% max calories ultra-transformées), varié, si possible bio, local et de saison",4,Habitude de consommation alimentaire,manger végétal max calorie animal max calorie ultratransformées possible bio local saison
"Il faut prolonger les engagements des inter professions sur la qualité des produits, pour limiter les apports en gras, sucre et sel ",2,Produits transformés,prolonger engagement inter profession qualité limiter apport gras sucre sel
Il faut que les grandes surfaces proposent des produits locaux et bio en payant le juste prix aux producteurs et en réduisant leurs marges,7,Circuit court,grand surface proposer local bio payer prix producteur réduire marge
Il faut sensibiliser les consommateurs à acheter local. Donc aux supermarchés de travailler avec les locaux,7,Circuit court,sensibiliser consommateur acheter local al supermarché travailler local
"Il faut améliorer le contenu des programmes de formation initiale et continue des cuisiniers (légumineuses, fait-maison, durabilité)",8,Alimentation des enfants,améliorer contenu programme formation initial continue cuisinier faitmaison durabilité
Il faut supprimer la TVA sur les fruits et les légumes ,9,Rémunération des agriculteurs,supprimer tva fruit légume
Il faut redonner du pouvoir d'achat aux consommateurs,5,Gaspillage alimentaire,redonner achat consommateur
"Il faut un étiquetage coloré pour les aliments, ainsi les consommateurs pourront faire des choix plus justes sur la qualité et la santé",5,Gaspillage alimentaire,étiquetage coloré aliment consommateur choix qualité santé
"Il faut interdire de jeter des produits consommables qui ne correspondent pas aux ""critères de beauté de la vente""",5,Gaspillage alimentaire,interdire jeter consommable correspondre critère beauté vente
Il faut permettre la vente de produits en DLUO dépassée,5,Gaspillage alimentaire,permettre vente dluo dépasser
"Il faut arrêter de surajouter des additifs, même naturels mais potentiellement allergisants (ex : gluten en surplus dans de nombreux pains)",2,Produits transformés,arrêter surajouter additif naturel potentiellement allergisant gluten surplus pain
Il faut utiliser des modes de production développant la biodiversité afin de réduire l'utilisation des pesticides,1,Agriculture biologique,utiliser mode production développer biodiversité réduire utilisation pesticide
"Il faut éviter de forcer la maturité des fruits et légumes et de mettre des engrais, et faire pousser les fruits et légumes dans la terre",4,Habitude de consommation alimentaire,éviter forcer maturité fruit légume mettre engrais pousser fruit légume terre
Il faut introduire des sessions d'éducation gustative dans les écoles : faire goûter des choses variées dès le jeune âge.,8,Alimentation des enfants,introduire session éducation gustatif école goûter chose varier jeune âge
"Il faut manger moins de viande, plus de noix, haricots et autres sources de protéine",0,Consommation Viande,manger viande noix haricot source protéine
Il faut créer des jardins collectifs au pied des immeubles,3,Cultiver soi-même,créer jardin collectif pied immeuble
"Il faut que nous, consommateurs, soyons responsables : pourquoi trouve-t-on des fraises en Février... Parce que nous les achetons ! ",6,Emballage alimentaire,consommateurs soyons responsable trouveton fraise février acheton
Il faut que les grandes surface baissent leurs marges bénéficiaires au moins de 30%,7,Circuit court,grand surface baissent marge bénéficiaire
"Il faut permettre la distribution plus large de produits peu transformés (sans sucres, sans lipides, sans additifs)",2,Produits transformés,permettre distribution large transformer sucre lipide additif
Il faut réduire la TVA des produits sains et de qualité et augmenter celle des produits ultra transforformés bourrés d'additifs dangereux ,9,Rémunération des agriculteurs,réduire tva sain qualité augmenter ultra transforformés bourré additif dangereux
"Il faut remettre en route les marchés des producteurs, avec gratuité des étalages ",3,Cultiver soi-même,remettre route marché producteur gratuité étalage
Il faut mettre en avant les valeurs nutritionnelles et les bienfaits des aliments que l'on consomme sur notre organisme ,2,Produits transformés,mettre nutritionnel bienfait aliment consomme organisme
Il faut éviter d'arroser certains légumes (salades...) qui ne se conservent ni en magasin ni chez soi !,4,Habitude de consommation alimentaire,éviter arroser légume salade conserver magasin
Il faut appliquer le nouveau système nutriscore sur tous les produits afin d'éviter au maximum les problèmes de santé,2,Produits transformés,appliquer nouveau système nutriscor éviter maximum problème santé
"Il faut créer des potagers communaux et communautaires sur des terrains des mairies, des toits des immeubles, etc, pour produire bio.",3,Cultiver soi-même,créer potager communal communautaire terrain mairie toit immeuble produire bio
Il faut acheter aux petits producteurs afin de faire des circuits courts ,7,Circuit court,acheter petit producteur circuit court
Il faut un rayon dédié aux produits végétariens et végétaliens. On en trouve dans plusieurs endroits et la demande est de plus en plus forte,6,Emballage alimentaire,rayon dédier végétarien végétalien trouve endroit demande fort
Il faut vendre les produits locaux et valoriser cela à condition qu'ils n'utilisent pas de pesticides et d'engrais nocifs,1,Agriculture biologique,vendre local valoriser condition utiliser pesticide nocif
Il faut arrêter les pesticides nocifs,1,Agriculture biologique,arrêter pesticide nocif
Il faut apprendre et identifier ce qui est bon pour la santé et dans quelles proportions,2,Produits transformés,apprendre identifier santé proportion
Il faut plus d'interventions de professionnels auprès des jeunes pour qu'ils adoptent de meilleures réflexes mais aussi avec leurs parents,8,Alimentation des enfants,intervention professionnel jeune adopter meilleur réflexe parent
"Il faut diminuer sa consommation de viande d'au moins 60% par personne, en à peine 3 ans, toute la planète pourrait manger bio...",0,Consommation Viande,diminuer consommation viande personn peine an planète manger bio
Il faut que les produits proposés en magasin soient de bonne qualité,7,Circuit court,proposer magasin qualité
Il faut que les femmes apprennent à cuisiner plutôt que d'acheter des produits transformés,4,Habitude de consommation alimentaire,femme apprendre cuisiner acheter transformer
Il faut arrêter d’acheter des plats préparés et transformés. La nourriture pousse dans la terre,4,Habitude de consommation alimentaire,arrêter dacheter plat préparer transformer nourriture pousse terre
Il faut manger les produits de saison,4,Habitude de consommation alimentaire,manger saison
"Il faut préciser sur l'emballage si le produit est issu de l'agriculture chimique, comme avec l'agriculture biologique",1,Agriculture biologique,préciser emballage issu agriculture chimique agriculture biologique
Il faut obliger les marques et fabricants à indiquer le nutriscore sur les emballages.,2,Produits transformés,obliger marque fabricant indiquer nutriscore emballage
Il faut que les supermarchés proposent davantage de produits en vrac,6,Emballage alimentaire,supermarché proposer davantage vrac
Il faut que les propriétaires de vergers partagent leur surplus de production avec leurs voisins,3,Cultiver soi-même,propriétaire vergers partager surplus production voisin
Il faut que tous aient le niveau de revenus suffisant pour acheter des produits de qualité,7,Circuit court,niveau revenu suffire acheter qualité
"Il faut proposer des ateliers de jardinage, d'éveil aux goûts et de cuisine pendant le temps périscolaire",8,Alimentation des enfants,proposer atelier jardinage éveil goût cuisine temps périscolaire
"Il faut distribuer les produits aux dates limites aux associations type Resto du Cœur, épicerie sociale, et autre",5,Gaspillage alimentaire,distribuer date limite association type restaurant cœur épicerie social
Il faut manger des produits frais de saison en circuits courts de sa région,7,Circuit court,manger frais saison circuit courts région
Il faut suivre les saisons c'est à dire manger des fruits et légumes de saison cultivés en agriculture raisonnée,7,Circuit court,suivre saison manger fruit légume saison cultivé agriculture raisonner
Il faut modifier le taux de TVA sur les produits alimentaires : de 0% à 25% en fonction de la qualité des produits,9,Rémunération des agriculteurs,modifier taux tva alimentaire fonction qualité
"Il faut mieux informer la population en matière de nutrition, par exemple en proposant des séminaires en entreprise et en école",8,Alimentation des enfants,mieux informer population matière nutrition exemple proposer séminaire entreprise école
Il faut réduire les circuits de distribution ,7,Circuit court,réduire circuit distribution
Il faut apprendre à cuisiner dès l’école primaire,8,Alimentation des enfants,apprendre cuisiner lécole primaire
"Il faut choisir les producteurs de qualités avec leurs fruits et légumes, à un prix très abordables",7,Circuit court,choisir producteur qualité fruit légume prix abordable
Il faut communiquer sur les risques liés à la Résistance aux Antibiotiques. ,0,Consommation Viande,communiquer risque lier résistance antibiotique
"Il faut manger de tout de manière très variée (tous types de légumes, viande, poissons, céréales,..)",4,Habitude de consommation alimentaire,manger manière varier type légume viande poisson céréale
"Il faut déterminer le type de déchêts générés et le mode de traitement, à partir des codes barres",2,Produits transformés,déterminer type déchêt générer mode traitement partir code barre
"Il faut de la viande, du poisson, des légumes, féculents, fruits, produits laitiers",4,Habitude de consommation alimentaire,viande poisson légume féculent fruit produire laitier
Il faut enlever la TVA sur les aliments bio et surtaxer en contrepartie les produits ultra transformés,9,Rémunération des agriculteurs,enlever tva aliment bio surtaxer contrepartie ultra transformer
"Il faut arrêter le suremballage des produits (pack de yaourts, packs de bouteilles, etc.)",6,Emballage alimentaire,arrêter suremballage pack yaourt pack bouteille
"Il faut une ferme dans chaque village et que tous les habitants se donnent pour prouver que tout est possible
",3,Cultiver soi-même,ferme village habitant donner prouver possible
Il faut interdire l'abattage de tout animal sans étourdissement correct préalable,0,Consommation Viande,interdire abattage animal étourdissement correct préalable
Il faut que les supermarchés arrêtent de jeter la nourriture arrivée en DLC et en faire profiter les associations caritatives,5,Gaspillage alimentaire,supermarché arrêter jeter nourriture arriver dlc profiter association caritatif
Il faut favoriser les maraîchers bio. Pour cela il est nécessaire de ne plus donner de permis de construire aux centres commerciaux,3,Cultiver soi-même,favoriser maraîcher bio nécessaire donner permettre construire centre commercial
Il faut ne plus jeter aucune nourriture ,5,Gaspillage alimentaire,jeter nourriture
Il faut éduquer les jeunes enfants à l'école pour les sensibiliser  à une alimentation équilibrée,8,Alimentation des enfants,éduquer jeune enfant école sensibiliser alimentation équilibré
Il faut remettre des terrains aux périphéries des agglomérations urbaines pour que chacun ait sont bout de potager et réapprendre à cultiver,3,Cultiver soi-même,remettre terrain périphérie agglomération urbain bout potager réapprendre cultiver
Il faut des options végétaliennes obligatoires dans tous les endroits publiques comme au Portugal,6,Emballage alimentaire,option végétalien obligatoire endroit public portugal
"Il faut un numéro de compte spécial, où il y aura des versements de solidarité ou un impôt",9,Rémunération des agriculteurs,numéro compte spécial versement solidarité impôt
"Il faut acheter, cuisiner, manger des produits (légumes, viandes, poissons) naturels dont on connait la provenance, la culture et l'élevage",7,Circuit court,acheter cuisiner manger légume viande poisson naturel conner provenance culture élevage
Il faut inciter le commun des mortels à cultiver même sur le balcon pour son plaisir et sa prise de conscience de la valeur de la nourriture,3,Cultiver soi-même,inciter commun mortel cultiver balcon plaisir prise conscience nourriture
"Il faut bannir les additifs chimiques des préparations culinaires, comme les sulfites, qui n'ont qu'un intérêt esthétique parfois",2,Produits transformés,bannir additif chimique préparation culinaire sulfite intérêt esthétique parfois
Il faut essayer de limiter la viande pour notre santé et pour l'impact sur la planète même si un bon steak est bien appétissant !,0,Consommation Viande,essayer limiter viande santé impact planète steak appétissant
Il faut mieux prendre en compte la souffrance animale et pas seulement les bovins. Limiter leurs déplacements,0,Consommation Viande,mieux prendre compte souffrance animal bovin limiter déplacement
Il faut installer du vrac et des systèmes de consigne dans tous les magasins,6,Emballage alimentaire,installer vrac système consigne magasin
"Il faut que l'on apprenne aux enfants à connaître les plantes, leur culture, la manière de les manger avec des travaux pratiques à l'école",8,Alimentation des enfants,apprendre enfant connaître plante culture manière manger travail pratique école
